incident_id,source_system,operation,sequence,wave_number,announced_utc,probable_launch_time,incident_day,target_text,landing_countries,target_country_guess,weapon_payload,ballistic_flag,drone_flag,cruise_flag,cluster_flag,target_energy_flag,target_port_flag,target_industrial_flag,target_military_flag,target_lat,target_lon,source_urls,description
tp4_1,tp4_osint_repo,tp4,1,1,2026-02-28T18:30:00Z,2026-02-28T18:00:00Z,2026-02-28,"Nevatim airbase, Tel Aviv, US military facilities in Persian Gulf; USN Fifth Fleet HQ Bahrain; Port Jebel Ali UAE; Duqm port Oman (2 drones, 1 injured); Tankers off Oman coast",IL | IQ | BH | AE | QA | JO | OM,Bahrain | Israel | Oman | United Arab Emirates,"Emad and Ghadr ballistic missiles, Shahed-136 drones",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,31.07,34.79,IDF reports high interception rate in coordination with allies; minor damage to one base,First wave of Operation True Promise 4; large-scale coordinated attack with drones to saturate defenses followed by ballistic missiles. Launched hours after US-Israeli Operation Epic Fury/Roaring Lion strikes on Iran.
tp4_2,tp4_osint_repo,tp4,2,2,2026-02-28T21:00:00Z,2026-02-28T20:30:00Z,2026-02-28,"Tel Aviv, US bases in Iraq",IL | IQ,Iraq | Israel,"Ballistic missiles, Shahed-136 drones",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32.07,34.77,https://www.presstv.ir/Detail/2026/02/28/764843/irgc-launches-new-waves-true-promise-pummeling-occupied-territories,Second wave continuing initial retaliatory barrage on Feb 28; 2-4 missiles per salvo pattern observed.
tp4_3,tp4_osint_repo,tp4,3,3,2026-02-28T23:45:00Z,2026-02-28T23:30:00Z,2026-02-28,"Israeli naval base in Haifa, warship dock in Haifa, Ramat David Air Base, HaKirya (Ministry of War) Tel Aviv, Abdullah Al-Mubarak Air Base Kuwait, Harir base Iraq, Prince Sultan Air Base Saudi Arabia; Crowne Plaza Hotel Manama Bahrain; Etihad Towers Abu Dhabi (drone intercepted, debris damage); French base Camp de la Paix Abu Dhabi; Al-Salam Naval Base Abu Dhabi; Saudi oil refinery",IL | KW | IQ | SA | BH | AE | JO,Bahrain | Iraq | Israel | Kuwait | Saudi Arabia | United Arab Emirates,"Advanced ballistic missiles, drones, cruise missiles",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,32.58,35.09,,Third wave; IRGC announced using more advanced missiles than True Promise 3. Expanded targeting to Gulf logistics infrastructure.
tp4_4,tp4_osint_repo,tp4,4,4,2026-03-01T01:00:00Z,2026-03-01T00:45:00Z,2026-03-01,"Beit Shams military-industrial complex, Ishtod military-industrial complex, US bases in Kuwait and Iraq",IL | KW | IQ,Iraq | Kuwait,"Kheibar Shekan ballistic missiles, drones",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,31.66,34.78,https://en.irna.ir/news/86089924/Third-and-fourth-waves-of-True-Promise-4-underway-IRGC | https://www.bernama.com/en/world/news.php?id=2528973,Fourth wave; continued expansion of targeting to military-industrial sites in Israel and Gulf bases.
tp4_5,tp4_osint_repo,tp4,5,5,2026-03-01T04:00:00Z,2026-03-01T03:30:00Z,2026-03-01,"American vessels in Indian Ocean, Abdullah Mubarak naval base Kuwait; Two missiles fired towards British bases on Cyprus (denied by Cyprus MoD)",KW | IO | CY,Cyprus | Kuwait,"Ballistic missiles, drones, cruise missiles",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.24,47.97,,Fifth wave; shift to maritime and Gulf targets. IRGC Navy involvement. MSP and MST logistics vessels in Indian Ocean reportedly struck (unverified).
tp4_6,tp4_osint_repo,tp4,6,6,2026-03-01T08:00:00Z,2026-03-01T07:30:00Z,2026-03-01,"Tel Nof Air Base, HaKirya headquarters (Israeli Defense Ministry/military command) Tel Aviv, Israeli Navy base Haifa, Haifa military naval yard",IL,Israel,"Ballistic missiles, drones",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32.445,34.885,https://english.almayadeen.net/news/politics/irgc-launches-sixth-wave-of-true-promise-4--retaliation-cont,Sixth wave; escalation to targeting Israeli political-military command infrastructure in dense urban Tel Aviv. IRGC signaling ability to strike leadership centers.
tp4_7,tp4_osint_repo,tp4,7,7,2026-03-01T14:00:00Z,2026-03-01T13:30:00Z,2026-03-01,"US/British oil tankers in Persian Gulf/Strait of Hormuz, Ali Al-Salem naval base Kuwait, Mohammed Al-Ahmad Naval Base Kuwait, Mina Salman US naval base Bahrain, USS Abraham Lincoln; Prince Sultan Airbase and King Khalid International Airport Saudi Arabia (intercepted); AWS data center UAE",IL | KW | BH | IO | SA | AE,Bahrain | Kuwait | Saudi Arabia | United Arab Emirates,"Ballistic missiles, drones, cruise missiles",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,29.35,47.52,,Seventh wave; massive expansion to maritime targets. IRGC claims 4 ballistic missiles fired at USS Abraham Lincoln carrier. Three oil tankers struck. Major Gulf base attacks.
tp4_8,tp4_osint_repo,tp4,8,8,2026-03-01T18:00:00Z,2026-03-01T17:30:00Z,2026-03-01,"Continued strikes on American and Israeli targets, regional US bases",IL | KW | BH,Israel,"Ballistic missiles, drones",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,Eighth wave; continuation of wave 7 operations. IRGC claims massive US casualties (560 killed/wounded - unverified). Large-scale drone deployments.
tp4_9,tp4_osint_repo,tp4,9,9,2026-03-01T22:00:00Z,2026-03-01T21:30:00Z,2026-03-01,"US naval assets, Israeli defense systems, drones across multiple regions; RAF Akrotiri Cyprus (1 drone hit airfield, 5 intercepted, minor damage); Beit Shemesh residential area (synagogue and bomb shelter destroyed)",IL | KW | BH | QA | CY,Cyprus | Israel,"Ballistic missiles, drones",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,32.07,34.77,https://english.almayadeen.net/news/politics/irgc-launches-ninth-wave-of-operation-true-promise-4 | https://news-pravda.com/usa/2026/03/01/2113467.html | https://www.timesofisrael.com/nine-people-killed-in-iranian-missile-strike-on-residential-area-in-beit-shemesh/ | https://www.aljazeera.com/news/2026/3/1/at-least-nine-killed-after-iranian-strike-on-israels-beit-shemesh | https://www.jpost.com/israel-news/article-888332,"Ninth wave; IRGC claims 700+ drones and hundreds of missiles launched since operation began. Cluster munition warhead used against Tel Aviv area (12 injuries). Deadliest strike of the war: Emad ballistic missile struck residential area in Beit Shemesh, destroying a synagogue and collapsing a public bomb shelter beneath it. Nine killed including three teenage siblings (Yaakov, 16; Avigail, 15; Sara Biton, 13), Ronit Elimelech and her mother Sara, mother and son Bruria and Yosef Cohen, Gavriel Baruch Ravach, and Oren Katz. 28 wounded including two in serious condition. Hospitals in Jerusalem treated 50 people from the Beit Shemesh impact."
tp4_10,tp4_osint_repo,tp4,10,10,2026-03-02T04:00:00Z,2026-03-02T03:30:00Z,2026-03-02,"Israeli government complex Tel Aviv, military/security centers Haifa, East Jerusalem; Netanyahu's office (Tel Aviv); Saudi Aramco facility",IL | SA,Israel | Saudi Arabia,Kheibar Shekan maneuvering ballistic missiles,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,32.09,34.78,IDF assessing damage from advanced missile strikes,"Tenth wave; featured advanced Kheibar Shekan maneuvering missiles (MaRV-equipped, Mach 8, 500-1500kg warhead). IRGC stated it 'opened the great gates of fire upon the occupied territories.'"
