incident_id,source_system,source_article,incident_day,target_text,target_country_guess,actor,strike_type,damage_confirmed,energy_relevant,target_lat,target_lon,description,source_urls
wiki_20250623_tehran_52,wikipedia,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_the_United_Arab_Emirates,2025-06-23,Tehran,Iran,Iran,unknown,FALSE,FALSE,35.69,51.39,"Officials from the United Arab Emirates condemned the attacks by Iran, calling them a ""flagrant violation of national sovereignty and international law"", while stating the country has a right to protect itself and its civilians. Safety measures were implemented including airspace closures and public safety advisories, and urged residents to rely on official sources for information. Following the ongoing attacks by Iran, the UAE closed its embassy in Tehran and withdrew its ambassador and all diplomatic staff. The UAE reasserted its right to self-defense, rejecting accusations by Iranian Foreign Minister Abbas Araghchi. A UAE official also stated that they would be open to mediation only if Iran stops the attacks.",https://www.hindustantimes.com/world-news/dubai-abu-dhabi-news-live-updates-uae-saudi-qatar-iran-us-israel-war-flights-airport-missile-explosion-latest-news-101773103543259.html | https://theprint.in/defence/from-qatar-to-bahrain-mapping-us-military-presence-in-middle-east-as-us-enters-israel-iran-conflict/2666672/ | https://web.archive.org/web/20250623114244/https://theprint.in/defence/from-qatar-to-bahrain-mapping-us-military-presence-in-middle-east-as-us-enters-israel-iran-conflict/2666672/ | https://gulfnews.com/uae/uae-intercepts-missiles-drones-in-iranian-attack-latest-updates-so-far-1.500459345 | https://web.archive.org/web/20260301131846/https://gulfnews.com/uae/uae-intercepts-missiles-drones-in-iranian-attack-latest-updates-so-far-1.500459345 | https://www.bloomberg.com/news/articles/2026-03-01/uae-shuts-embassy-in-tehran-in-response-to-iranian-strikes | https://koreajoongangdaily.joins.com/news/2026-03-05/national/socialAffairs/Forty-Korean-tourists-return-from-Dubai-amid-rising-Middle-East-tensions/2537884 | https://www.iranintl.com/en/202603148398 | https://www.iranintl.com/en/202603133866 | https://www.iranintl.com/en/202603154100
wiki_20260213_beginning_at_09_05_utc_iran_la_153,wikipedia,https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war,2026-02-13,"Beginning at 09:05 UTC, Iran launched ballistic missiles towards Israel and seve",Iran,Iran,ballistic_missile,TRUE,TRUE,27.47611,52.6075,"Beginning at 09:05 UTC, Iran launched ballistic missiles towards Israel and several Gulf states in retaliation to the American and Israeli strikes. At 10:15 UTC, missile strikes were confirmed in Israel. Strikes were reported in Haifa and Tel Aviv. A strike on a residential area in Tel Aviv killed a civilian woman in her forties and injured 27 others.",https://www.aljazeera.com/news/liveblog/2026/2/28/live-israel-launches-attacks-on-iran-multiple-explosions-heard-in-tehran | https://www.ft.com/content/0c085046-6cfa-4832-a764-d79f41225b1f | https://www.aljazeera.com/features/2026/3/10/the-fourth-successor-how-iran-planned-to-fight-a-long-war-with-the-us-and-israel | https://www.wral.com/news/ap/c2f11-bahrain-says-a-missile-attack-targeted-the-us-navys-5th-fleet-headquarters-in-the-island-kingdom/ | https://www.kurdistan24.net/en/story/897171/slug | https://aje.news/p4rw7y?update=4347971 | https://www.timesofisrael.com/woman-killed-dozens-injured-as-iranian-missile-strikes-tel-aviv-residential-block/ | https://france24.com/en/middle-east/20260228-what-we-know-about-us-military-bases-mideast-gulf-targeted-iran-retaliatory-strikes
wiki_20260228_a_shahed_type_drone_reportedly_20,wikipedia,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_the_United_Arab_Emirates,2026-02-28,A Shahed-type drone reportedly struck near the Fairmont The Palm Hotel on Palm J,United Arab Emirates,Iran,drone,TRUE,TRUE,34.46907000001588,37.38256484885285,"A Shahed-type drone reportedly struck near the Fairmont The Palm Hotel on Palm Jumeirah, causing a large explosion and fire. Four individuals were injured, primarily from debris and blast effects. The attack disrupted the luxurious district, with windows shattering in nearby buildings. The UAE said that it had intercepted a ""new wave"" of Iranian missiles and that ""fragments from the interceptions"" had fallen in Abu Dhabi and Dubai, causing damage to Burj Al Arab.",https://thenightly.com.au/world/exclusive-dubai-airbase-where-adf-personnel-stationed-reportedly-hit-by-iranian-missiles-c-21803112 | https://www.aljazeera.com/news/liveblog/2026/2/28/live-israel-launches-attacks-on-iran-multiple-explosions-heard-in-tehran | https://web.archive.org/web/20260228070906/https://www.aljazeera.com/news/liveblog/2026/2/28/live-israel-launches-attacks-on-iran-multiple-explosions-heard-in-tehran | https://www.nytimes.com/live/2026/02/28/world/iran-strikes-trump/c5d65805-baf0-5427-a662-a583ac88a338?smid=url-share
wiki_20260228_a_spokesperson_for_the_iraqi_p_152,wikipedia,https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war,2026-02-28,A spokesperson for the Iraqi Popular Mobilization Forces says that two of its fi,Iraq,US/Israel,unknown,TRUE,FALSE,,,"A spokesperson for the Iraqi Popular Mobilization Forces says that two of its fighters had been killed while three more had been injured during strikes in Jurf al-Sakhar, south of Baghdad.",https://www.nytimes.com/2026/03/01/world/middleeast/iran-israel-strikes.html | https://www.aljazeera.com/news/liveblog/2026/2/28/live-israel-launches-attacks-on-iran-multiple-explosions-heard-in-tehran | https://www.ft.com/content/0c085046-6cfa-4832-a764-d79f41225b1f
wiki_20260228_after_the_missile_and_drone_at_160,wikipedia,https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war,2026-02-28,"After the missile and drone attacks on Kuwait, its foreign ministry summoned Moh",Kuwait,Iran,drone,FALSE,FALSE,,,"After the missile and drone attacks on Kuwait, its foreign ministry summoned Mohammad Toutounchi, Iran's ambassador in Kuwait.",https://www.timesofisrael.com/liveblog_entry/israel-calls-up-20000-reservists-in-addition-to-the-50000-reservists-currently-on-duty/ | https://www.iranintl.com/en/202603016712
iransm_s091,iranstrikemap,https://iranstrikemap.com,2026-02-28,Al Minhad Air Base — Australian/Coalition Logistics Hub,United Arab Emirates,Iran,drone,TRUE,FALSE,25.0278,55.366,"Iranian drones struck Al Minhad Air Base — a logistics hub for Australia's Middle East operations located approximately 25km south of Dubai — on the first night of the Iran conflict (Feb 28). Australian Defence Minister Richard Marles confirmed the strike on March 3, stating all Australian Defence Force (ADF) personnel stationed at the base were safe and uninjured. Marles: 'We have a number of Australians who operate from a headquarters that we've had at Al Minhad now for many, many years.' Al Minhad hosts coalition forces including ADF and has served as a key staging post for Middle East operations for over a decade. Strike was confirmed only publicly on March 3 — the event itself occurred Feb 28 as part of Iran's first-night retaliatory strikes across the UAE and broader Gulf region.",Australian Defence Minister Richard Marles (ABC News Australia — March 3 2026) | The Guardian (Australia — March 3 2026) | 7NEWS Australia (March 3 2026) | InDaily South Australia (March 3 2026)
iransm_s011,iranstrikemap,https://iranstrikemap.com,2026-02-28,Al Udeid Air Base — Iranian Missile Strike,Qatar,Iran,missile,TRUE,FALSE,25.1175,51.3148,Iran targeted the primary US air operations hub in the Gulf. IRGC confirmed targeting al-Udeid. Qatar defence ministry said it 'thwarted' several attacks. Part of Operation True Promise 4.,DoD | Reuters | BBC | Qatar MoD
iransm_s037,iranstrikemap,https://iranstrikemap.com,2026-02-28,Al-Dhafra Air Base — Iranian Missile Strike,United Arab Emirates,Iran,missile,TRUE,FALSE,24.2483,54.5483,"Iran targeted Al-Dhafra Air Base, hosting ~5,000 US military personnel near Abu Dhabi. IRGC confirmed targeting the base. UAE air defence intercepted multiple missiles and drones.",The Week | Guardian | CNN | IRGC
iransm_s030,iranstrikemap,https://iranstrikemap.com,2026-02-28,Ali al-Salem Air Base — Iranian Missile Strike,Kuwait,Iran,missile,TRUE,TRUE,29.3759,47.9774,"Iran fired ballistic missiles at Ali al-Salem Air Base in Kuwait. Kuwait air defence intercepted all missiles. A drone also crashed into Kuwait International Airport, wounding several employees with limited damage. 3 Kuwaiti soldiers injured.",BBC | KUNA | Guardian | Wikipedia
iransm_s034,iranstrikemap,https://iranstrikemap.com,2026-02-28,Bahrain High-Rise — Iranian Drone Strike,Bahrain,Iran,drone,TRUE,FALSE,26.2167,50.5833,Iranian drone flew directly into a high-rise building in Manama in what appeared to be a targeted attack. Building engulfed in flames. Bahrain confirmed drone attacks and falling debris hit 3 buildings in Manama and Muharraq.,BBC | Guardian | Bahrain Ministry of Interior
